Restaurant,Category,Items,Cost (USD),Calories,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (g)
mcdonalds,Breakfast,McD - Sausage McGriddles,2.79,420,11,22,44,15,1.03
mcdonalds,Breakfast,McD - Sausage McMuffin,2.79,370,14,23,29,2,0.78
mcdonalds,Breakfast,McD - Sausage McMuffin with Egg,2.99,450,21,28,30,2,0.86
mcdonalds,Breakfast,"McD - Sausage, Egg & Cheese McGriddles",2.79,550,20,31,48,15,1.32
mcdonalds,Drink,McD - Shamrock Shake,2.59,660,14,19,109,93,0.21
mcdonalds,Breakfast,McD - Southern Style Chicken Biscuit,2.99,410,17,20,41,3,1.18
mcdonalds,Drink,McD - Sprite,1.29,200,0,0,54,54,0.045
mcdonalds,Breakfast,McD - Steak & Egg McMuffin,3.99,430,26,23,31,3,0.96
mcdonalds,Breakfast,"McD - Steak, Egg & Cheese Bagel",3.29,670,33,35,56,7,1.51
mcdonalds,Drink,McD - Strawberry Banana Smoothie,2.89,250,4,1,58,54,0.06
mcdonalds,Drink,McD - Strawberry Shake,2.59,690,15,20,114,100,0.21
mcdonalds,Dessert,McD - Strawberry Sundae,1.29,280,6,6,49,45,0.085
mcdonalds,Drink,McD - Sweet Tea,1.29,180,1,0,45,45,0.01
mcdonalds,Drink,McD - Vanilla Shake,2.59,660,14,19,109,81,0.2
starbucks,Breakfast,SB - Almond Croissant,3.25,420,22,45,13,10,0.39
starbucks,Breakfast,"SB - Bacon, Gouda & Egg Breakfast Sandwich",3.75,370,18,33,2,18,0.78
starbucks,Breakfast,SB - Butter Croissant,2.45,260,15,27,5,5,0.32
starbucks,Breakfast,SB - Cheese Danish,2.45,290,14,33,11,7,0.4
starbucks,Breakfast,SB - Classic Oatmeal,3.45,160,2.5,28,0,5,0.125
starbucks,Breakfast,"SB - Double-Smoked Bacon, Cheddar & Egg Sandwich",4.25,520,29,42,8,24,1.05
starbucks,Breakfast,SB - Ham & Cheese Croissant,3.45,320,17,28,5,14,0.49
starbucks,Breakfast,SB - Hearty Blueberry Oatmeal,3.99,220,2.5,43,13,5,0.125
starbucks,Breakfast,SB - Reduced-Fat Turkey Bacon & Cage Free Egg White Breakfast Sandwich,3.75,230,5,28,2,18,0.55
starbucks,Breakfast,"SB - Roasted Ham, Swiss & Egg Breakfast Sandwich",3.75,460,23,43,7,21,0.92
starbucks,Breakfast,"SB - Sausage, Cheddar & Egg Breakfast Sandwich",3.45,480,29,34,2,18,0.88
starbucks,Breakfast,SB - Strawberry Cake Pop,2.45,160,8,22,16,4,0.08
starbucks,Dessert,SB - Banana Nut Bread,2.29,420,22,52,30,6,0.32
starbucks,Dessert,SB - Berry Trio Parfait,3.45,240,2.5,39,26,14,0.125
starbucks,Dessert,SB - Birthday Cake Slice,3.5,170,9,23,18,1,0.11
starbucks,Dessert,SB - Blueberry Muffin,3.19,360,15,52,33,5,0.27
starbucks,Dessert,SB - Blueberry Oat Cake,2.45,390,12,71,33,7,0.43
starbucks,Dessert,SB - Blueberry Scone,2.45,380,17,54,22,6,0.35
starbucks,Dessert,SB - Chocolate Cake Slice,3.5,160,8,23,18,2,0.08
starbucks,Dessert,SB - Chocolate Chip Cookie,1.95,360,18,47,31,6,0.22
starbucks,Dessert,SB - Chocolate Croissant,3.25,340,20,38,13,5,0.28
starbucks,Dessert,SB - Cinnamon Raisin Bagel,3,270,1,58,11,9,0.37
starbucks,Dessert,SB - Classic Coffee Cake,3.5,330,15,43,21,4,0.27
starbucks,Dessert,SB - Confetti Sugar Cookie,1.95,410,21,54,36,4,0.22
starbucks,Dessert,SB - Double Chocolate Chunk Brownie,2.35,480,28,55,37,6,0.22
starbucks,Dessert,SB - Fresh Blueberries and Honey Greek Yogurt Parfait,3.45,240,2.5,42,29,14,0.1
starbucks,Dessert,SB - Gluten-Free Marshmallow Dream Bar,3,230,5,44,24,1,0.22
starbucks,Dessert,SB - Iced Lemon Loaf Cake,2.45,470,20,68,42,6,0.31
starbucks,Dessert,SB - Justin's Chocolate Hazelnut Butter,2.75,180,14,12,7,4,0.065
starbucks,Dessert,SB - Justin's Classic Almond Butter,2.75,190,18,6,1,7,0
starbucks,Dessert,SB - Lemon Crunch Yogurt Parfait,3.45,330,12,42,29,14,0.09
starbucks,Dessert,SB - Mango & Coconut Yogurt Bowl,3.45,250,6,34,26,16,0.06
starbucks,Dessert,SB - Old-Fashioned Glazed Doughnut,1.95,480,27,56,30,5,0.41
starbucks,Dessert,SB - Petite Vanilla Bean Scone,2.25,120,4.5,18,8,2,0.095
starbucks,Dessert,SB - Pumpkin Bread,2.45,410,15,63,39,6,0.5
starbucks,Drink,SB - Blonde Roast,2.1,5,0,0,0,1,0.01
starbucks,Drink,SB - Caffè Vanilla Frappuccino® Blended Coffee,4.45,310,2,69,68,4,0.23
starbucks,Drink,SB - Caramel Frappuccino® Blended Coffee,4.45,270,2,60,60,4,0.23
starbucks,Drink,SB - Chai Crème Frappuccino® Blended Crème,4.25,230,2.5,49,48,4,0.22
starbucks,Drink,SB - Chai Tea Latte,3.25,240,3.5,47,43,6,0.09
starbucks,Drink,SB - Cinnamon Dolce Crème,4.25,280,7,42,40,12,0.17
starbucks,Drink,SB - Citrus Defender,3.25,160,0,39,35,0,0.02
starbucks,Drink,SB - Coffee Frappuccino® Blended Coffee,3.95,230,2,50,50,3,0.22
